asof,exp008_score,branch_oracle_score,candidate_oracle_score,branch_oracle_gap,candidate_oracle_gap,exp008_rank_vs_branches,candidate_pool_size,future_top5_coverage,selected_future_return_mean,pool_future_return_q90,pool_future_return_q95,baseline_score_offline_reference,gap_vs_baseline_offline_reference,diagnosis
2026-02-06,0.0102130926595888,0.0762684088917872,0.10226973562612192,0.0660553162321984,0.09205664296653313,8,21,0.2,0.010213092659588896,0.06785928090995452,0.12599388379200227,0.0004112536379347,0.10185848198818721,exp008_above_baseline_offline_reference
2026-02-13,-0.0127160624042417,0.0778096365828026,0.10652920508033895,0.0905256989870443,0.11924526748458064,8,22,0.2,-0.012716062404241701,0.09179269776875809,0.13419660464798638,-0.0173825357061407,0.12391174078647965,exp008_above_baseline_offline_reference
2026-03-02,0.0171082075124491,0.0171082075124491,0.024165190523900204,0.0,0.007056983011451103,1,21,0.0,0.01710820751244917,0.02220549491906998,0.024615384615276126,0.0064116876244382,0.017753502899462002,exp008_above_baseline_offline_reference
2026-03-09,0.0197652118840158,0.0593043557012804,0.09892422274729244,0.0395391438172646,0.07915901086327665,5,22,0.0,0.019765211884015876,0.10330831669758014,0.10494163763065677,0.0187265788664654,0.08019764388082704,exp008_above_baseline_offline_reference
2026-03-16,-0.0023352813847829,0.0018180427083169,0.023121580547377764,0.0041533240930998,0.025456861932160665,2,23,0.0,-0.0023352813847829167,0.02625394591328451,0.03524083484572897,0.0020263291982774,0.021095251349100362,candidate_pool_has_alpha_but_branch_outputs_fail
2026-03-23,0.0148910536682658,0.0252226294011132,0.06544093059699443,0.010331575732847402,0.050549876928728636,2,20,0.2,0.014891053668265864,0.04276954602899651,0.05863647665001832,0.023874913198763,0.04156601739823143,branch_gate_failure
2026-03-30,-0.0057263599164897,0.0255056166916814,0.04247368625072383,0.031231976608171102,0.04820004616721353,3,24,0.0,-0.005726359916489754,0.021591737757971696,0.0665625395292832,0.0019251764586009,0.040548509792122926,branch_gate_failure
2026-04-07,0.0606132422513541,0.1326640345331636,0.14298959632056082,0.07205079228180951,0.08237635406920672,6,26,0.2,0.060613242251354116,0.11538755995513283,0.1632760344645821,-0.0082293752870038,0.15121897160756462,exp008_above_baseline_offline_reference
2026-04-14,0.0214004162329492,0.0297702193566981,0.07022199586690707,0.008369803123748899,0.04882157963395787,5,22,0.0,0.02140041623294926,0.06430373857769107,0.0813643345901391,0.0187515172935829,0.051470478573324166,exp008_above_baseline_offline_reference
2026-04-17,0.0827105328839978,0.08271053288399784,0.0932309563536466,4.163336342344337e-17,0.010520423469648807,2,22,0.4,0.08271053288399784,0.0404762017781512,0.159233771908117,0.0209348481563576,0.072296108197289,exp008_above_baseline_offline_reference
