asof,exp008,exp009,delta,regime_exp008,regime_exp009,chosen_branch,selected_picks,selected_top5
2026-02-06,0.0102130926595888,-0.00470521589781141,-0.014918308557400211,risk_off,neutral,independent_union_rerank,"300476,002463,601888,300274,688256","600028,600900,601398,600036,601988"
2026-02-13,-0.0127160624042417,-0.029142765307811548,-0.01642670290356985,risk_off,neutral,legal_minrisk_hardened,"600036,600900,601398,601166,601816","600900,600036,601398,601318,600519"
2026-03-02,0.0171082075124491,0.021302513070725903,0.004194305558276802,mixed_defensive,neutral,legal_minrisk_hardened,"600900,601398,600036,601166,601288","600900,600036,600926,600089,600406"
2026-03-09,0.0197652118840158,0.039255432123715614,0.019490220239699815,risk_off,neutral,legal_minrisk_hardened,"600900,601398,600036,601328,601166","600900,600188,601857,600028,600938"
2026-03-16,-0.0023352813847829,-0.008858430158124465,-0.006523148773341566,mixed_defensive,neutral,legal_minrisk_hardened,"600900,601398,600036,601166,601169","600406,600900,600989,600938,601857"
2026-03-23,0.0148910536682658,0.024151990238003185,0.009260936569737385,risk_off,defensive,legal_minrisk_hardened,"600900,600036,601398,601166,601939","600900,601006,601939,601988,601998"
2026-03-30,-0.0057263599164897,-0.008950891740545463,-0.003224531824055762,mixed_defensive,defensive,legal_minrisk_hardened,"600900,600036,601166,601398,601328","600900,601006,601939,601988,601398"
2026-04-07,0.0606132422513541,-0.007868818564545046,-0.06848206081589915,mixed_defensive,defensive,independent_union_rerank,"603799,688008,600023,688981,603259","600900,601998,601988,601838,601229"
2026-04-14,0.0214004162329492,0.01769582485666934,-0.0037045913762798616,risk_on_strict,defensive,independent_union_rerank,"601111,688256,300476,300274,300760","600900,601006,601985,601939,601398"
2026-04-17,0.0827105328839978,0.022025957527017373,-0.06068457535698042,risk_off,defensive,independent_union_rerank,"600893,600150,002384,601077,300274","600900,601088,601939,601398,601988"
